employee_id|birth_date|first_name|last_name|gender|hire_date|leaving_date
EMP-0225|1974-12-06 00:00:00|Lysandra|Wright|F|2009-07-02 00:00:00|2015-07-09 00:00:00
EMP-0212|1964-07-02 00:00:00|Leah|Beach|F|2009-03-02 00:00:00|
EMP-0190|1970-10-08 00:00:00|Oleg|Luna|M|2008-08-15 00:00:00|2011-10-06 00:00:00
EMP-0086|1970-03-19 00:00:00|Honorato|Rocha|M|2005-08-02 00:00:00|2013-02-14 00:00:00
EMP-0005|1976-01-28 00:00:00|Kirby|Sweet|F|2002-07-01 00:00:00|2014-09-09 00:00:00
EMP-0392|1979-03-10 00:00:00|Oprah|Curry|F|2014-10-28 00:00:00|
EMP-0105|1977-09-20 00:00:00|Nissim|Murphy|M|2006-03-16 00:00:00|2010-05-03 00:00:00
EMP-0421|1986-10-01 00:00:00|Risa|Manning|F|2015-11-23 00:00:00|
EMP-0292|1980-06-05 00:00:00|Kermit|Ashley|M|2011-09-15 00:00:00|
EMP-0241|1975-04-25 00:00:00|Richard|Clayton|M|2010-05-10 00:00:00|2012-06-13 00:00:00
EMP-0037|1959-08-12 00:00:00|Yen|Rodriquez|F|2003-12-04 00:00:00|
EMP-0298|1969-08-20 00:00:00|Damon|Atkins|M|2011-11-21 00:00:00|2014-01-28 00:00:00
EMP-0216|1973-03-13 00:00:00|Griffin|Tucker|M|2009-04-28 00:00:00|
EMP-0305|1975-03-14 00:00:00|Jordan|Schroeder|F|2012-02-15 00:00:00|
EMP-0342|1982-08-06 00:00:00|Myra|Haynes|F|2013-06-17 00:00:00|
EMP-0147|1978-10-08 00:00:00|Ivana|Sweeney|F|2007-04-10 00:00:00|2009-07-14 00:00:00
EMP-0011|1964-05-14 00:00:00|Grace|Atkinson|F|2002-07-01 00:00:00|
EMP-0228|1980-04-27 00:00:00|Nash|Blair|M|2009-07-31 00:00:00|2015-05-28 00:00:00
EMP-0093|1961-07-12 00:00:00|Leroy|Ortega|M|2005-10-14 00:00:00|
EMP-0346|1983-08-10 00:00:00|Carly|Tucker|F|2013-08-07 00:00:00|
EMP-0131|1967-05-25 00:00:00|Cody|Schwartz|M|2006-11-24 00:00:00|2014-01-30 00:00:00
EMP-0238|1969-03-23 00:00:00|Kaseem|Roth|M|2010-03-02 00:00:00|
EMP-0316|1970-12-13 00:00:00|Hunter|Hooper|M|2012-07-09 00:00:00|
EMP-0210|1969-12-23 00:00:00|Christen|Leonard|F|2009-02-27 00:00:00|
EMP-0354|1982-01-31 00:00:00|Shelley|Love|F|2013-10-28 00:00:00|
EMP-0110|1977-11-01 00:00:00|Alfonso|Conrad|M|2006-05-05 00:00:00|
EMP-0267|1983-01-07 00:00:00|Ila|Delaney|F|2011-01-03 00:00:00|2016-09-16 00:00:00
EMP-0282|1974-06-27 00:00:00|Damon|Fisher|M|2011-05-20 00:00:00|
EMP-0345|1979-07-31 00:00:00|Basil|Vaughn|M|2013-07-31 00:00:00|
EMP-0058|1975-03-14 00:00:00|Jonah|Guthrie|M|2004-07-30 00:00:00|2011-05-30 00:00:00
EMP-0176|1964-12-13 00:00:00|Dustin|Villarreal|M|2008-02-26 00:00:00|
EMP-0135|1978-09-30 00:00:00|Declan|Alvarado|M|2006-12-22 00:00:00|
EMP-0265|1983-09-29 00:00:00|Shelly|Lewis|F|2010-12-30 00:00:00|
EMP-0451|1980-11-22 00:00:00|Bruno|Fulton|M|2016-10-25 00:00:00|
EMP-0391|1989-11-17 00:00:00|Blake|Daugherty|M|2014-10-21 00:00:00|
EMP-0291|1983-08-12 00:00:00|Vladimir|Lawrence|M|2011-08-22 00:00:00|2015-11-13 00:00:00
EMP-0350|1977-07-24 00:00:00|Carly|Cannon|F|2013-08-28 00:00:00|
EMP-0328|1976-07-22 00:00:00|Harrison|Mckee|M|2012-11-14 00:00:00|2016-09-07 00:00:00
EMP-0060|1968-06-02 00:00:00|Rigel|Jensen|M|2004-08-18 00:00:00|2009-02-05 00:00:00
EMP-0373|1976-09-08 00:00:00|Serina|Holcomb|F|2014-05-13 00:00:00|
EMP-0199|1983-10-05 00:00:00|Hadassah|Rasmussen|F|2008-10-24 00:00:00|2011-08-19 00:00:00
EMP-0082|1963-11-17 00:00:00|Aladdin|Lara|M|2005-04-29 00:00:00|2011-02-08 00:00:00
EMP-0448|1991-06-22 00:00:00|Bo|Dillon|F|2016-09-20 00:00:00|
EMP-0385|1987-09-26 00:00:00|Josiah|Bates|M|2014-09-08 00:00:00|
EMP-0447|1973-06-14 00:00:00|Lucy|Grant|F|2016-09-16 00:00:00|
EMP-0221|1975-09-19 00:00:00|Carson|Crawford|M|2009-05-14 00:00:00|2013-07-29 00:00:00
EMP-0402|1970-09-17 00:00:00|Quinlan|Cortez|M|2015-02-16 00:00:00|
EMP-0162|1976-12-23 00:00:00|Benedict|Cote|M|2007-09-28 00:00:00|2016-06-03 00:00:00
EMP-0381|1976-10-06 00:00:00|Aladdin|Carson|M|2014-08-25 00:00:00|
EMP-0387|1988-01-13 00:00:00|Randall|Gould|M|2014-09-23 00:00:00|
EMP-0407|1980-09-27 00:00:00|Carolyn|Morse|F|2015-04-09 00:00:00|
EMP-0445|1990-01-28 00:00:00|Shea|Spencer|F|2016-09-01 00:00:00|
EMP-0036|1973-04-03 00:00:00|Sade|Rodriguez|F|2003-11-13 00:00:00|
EMP-0120|1965-01-21 00:00:00|Alexander|Salas|M|2006-08-16 00:00:00|2012-09-24 00:00:00
EMP-0075|1978-05-27 00:00:00|Violet|Blankenship|F|2005-03-14 00:00:00|2013-01-03 00:00:00
EMP-0010|1974-03-12 00:00:00|Dane|Oneil|M|2002-07-01 00:00:00|2009-08-20 00:00:00
EMP-0264|1971-05-20 00:00:00|Rafael|Gardner|M|2010-12-14 00:00:00|2015-10-07 00:00:00
EMP-0172|1972-09-06 00:00:00|Valentine|Fuentes|M|2008-01-03 00:00:00|2015-01-06 00:00:00
EMP-0156|1965-06-10 00:00:00|Penelope|Bolton|F|2007-08-16 00:00:00|2014-10-27 00:00:00
EMP-0380|1974-07-02 00:00:00|Forrest|Ball|M|2014-08-15 00:00:00|
EMP-0157|1975-02-20 00:00:00|Katell|Bray|F|2007-08-20 00:00:00|2012-08-03 00:00:00
EMP-0123|1970-10-12 00:00:00|Kiayada|Calhoun|F|2006-08-29 00:00:00|2010-01-04 00:00:00
EMP-0377|1972-01-05 00:00:00|Kaseem|Herring|M|2014-05-27 00:00:00|
EMP-0259|1970-11-17 00:00:00|Erica|Parker|F|2007-02-01 00:00:00|
EMP-0023|1960-08-13 00:00:00|Laurel|White|F|2002-07-01 00:00:00|2014-10-20 00:00:00
EMP-0052|1964-06-28 00:00:00|Amal|Pugh|M|2004-05-26 00:00:00|2009-03-11 00:00:00
EMP-0081|1960-07-29 00:00:00|Knox|Pollard|M|2005-04-25 00:00:00|
EMP-0352|1987-10-15 00:00:00|Jada|Sherman|F|2013-10-18 00:00:00|2014-04-22 00:00:00
EMP-0288|1967-07-19 00:00:00|Sydney|Beach|F|2011-06-22 00:00:00|
EMP-0235|1966-09-14 00:00:00|Hyatt|Mclaughlin|M|2009-12-11 00:00:00|2015-10-14 00:00:00
EMP-0412|1976-05-30 00:00:00|Sawyer|Santana|M|2015-06-03 00:00:00|
EMP-0118|1973-02-25 00:00:00|Sydney|Wong|F|2006-07-19 00:00:00|2016-04-29 00:00:00
EMP-0142|1977-02-01 00:00:00|Noel|Wynn|F|2007-02-20 00:00:00|2016-05-02 00:00:00
EMP-0098|1969-04-14 00:00:00|Harper|Cantu|M|2006-01-03 00:00:00|2008-10-03 00:00:00
EMP-0122|1971-02-19 00:00:00|Emmanuel|Santana|M|2006-08-18 00:00:00|2014-12-10 00:00:00
EMP-0126|1979-04-13 00:00:00|Stephanie|Dixon|F|2006-09-22 00:00:00|2009-06-18 00:00:00
EMP-0379|1973-04-18 00:00:00|Tate|Salas|M|2014-07-17 00:00:00|
EMP-0111|1978-12-18 00:00:00|Timon|Randall|M|2006-05-16 00:00:00|2009-09-10 00:00:00
EMP-0324|1985-05-04 00:00:00|Alden|Wilcox|M|2012-10-01 00:00:00|
EMP-0113|1970-01-19 00:00:00|Gemma|Ball|F|2006-05-29 00:00:00|2008-07-18 00:00:00
EMP-0092|1961-05-09 00:00:00|Brian|Callahan|M|2005-10-11 00:00:00|
EMP-0040|1971-04-23 00:00:00|Martina|Oliver|F|2004-01-07 00:00:00|2016-03-08 00:00:00
EMP-0173|1979-10-08 00:00:00|Alyssa|Rhodes|F|2008-01-14 00:00:00|
EMP-0339|1984-01-01 00:00:00|Robin|Quinn|F|2013-05-24 00:00:00|
EMP-0258|1979-06-06 00:00:00|Herrod|Downs|M|2010-09-23 00:00:00|
EMP-0217|1983-04-07 00:00:00|Coby|Huffman|M|2009-04-29 00:00:00|2015-06-18 00:00:00
EMP-0084|1976-05-18 00:00:00|Sydney|Foley|F|2005-05-19 00:00:00|2013-02-21 00:00:00
EMP-0254|1982-09-11 00:00:00|Robin|Rasmussen|F|2010-08-30 00:00:00|2011-03-01 00:00:00
EMP-0015|1962-11-13 00:00:00|Glenna|Curry|F|2002-07-01 00:00:00|2009-03-23 00:00:00
EMP-0289|1979-04-22 00:00:00|Coby|Sweeney|M|2008-10-30 00:00:00|
EMP-0309|1976-04-13 00:00:00|Hector|Bean|M|2012-03-28 00:00:00|2016-06-15 00:00:00
EMP-0048|1977-04-24 00:00:00|Rigel|Salas|M|2004-04-23 00:00:00|2012-02-20 00:00:00
EMP-0006|1962-11-14 00:00:00|Cameron|Hardin|F|2002-07-01 00:00:00|2005-09-06 00:00:00
EMP-0146|1974-10-16 00:00:00|Veronica|Mcguire|F|2007-04-10 00:00:00|
EMP-0280|1986-07-09 00:00:00|Bruce|Barlow|M|2011-05-18 00:00:00|
EMP-0357|1980-07-23 00:00:00|Moana|Hart|F|2013-12-09 00:00:00|
EMP-0293|1980-09-08 00:00:00|Dale|Madden|M|2011-10-19 00:00:00|2016-07-18 00:00:00
EMP-0047|1974-04-29 00:00:00|Echo|Sexton|F|2004-04-05 00:00:00|2006-06-20 00:00:00
EMP-0070|1976-11-22 00:00:00|Lucius|Yang|M|2005-01-31 00:00:00|2016-04-11 00:00:00
EMP-0272|1974-11-13 00:00:00|Anastasia|Whitaker|F|2011-03-01 00:00:00|2016-04-01 00:00:00
EMP-0164|1983-09-03 00:00:00|Nash|Sanford|M|2007-10-26 00:00:00|2015-05-19 00:00:00
EMP-0133|1968-08-15 00:00:00|Clinton|Sparks|M|2006-12-11 00:00:00|
EMP-0020|1958-05-17 00:00:00|Ali|Fernandez|M|2002-07-01 00:00:00|2009-09-07 00:00:00
EMP-0181|1973-02-26 00:00:00|Elvis|Harris|M|2004-12-23 00:00:00|
EMP-0353|1975-12-13 00:00:00|Martina|Wolf|F|2013-10-22 00:00:00|
EMP-0097|1972-04-14 00:00:00|Elvis|Golden|M|2005-12-19 00:00:00|
EMP-0449|1984-11-17 00:00:00|Iris|Gill|F|2016-10-03 00:00:00|
EMP-0202|1966-02-09 00:00:00|Stone|Wilkinson|M|2008-11-21 00:00:00|
EMP-0434|1981-08-05 00:00:00|Stone|Berg|M|2016-03-29 00:00:00|
EMP-0413|1978-03-21 00:00:00|Portia|Dodson|F|2015-06-09 00:00:00|
EMP-0174|1976-09-24 00:00:00|Zane|Rose|M|2008-02-05 00:00:00|2014-03-26 00:00:00
EMP-0144|1965-07-09 00:00:00|Blossom|Barnett|F|2007-03-20 00:00:00|2010-06-03 00:00:00
EMP-0261|1983-10-15 00:00:00|Lael|Harding|F|2010-12-03 00:00:00|
EMP-0437|1984-03-27 00:00:00|Ray|Vaughn|M|2016-04-14 00:00:00|
EMP-0397|1971-03-20 00:00:00|Velma|Christian|F|2015-01-27 00:00:00|
EMP-0025|1966-03-14 00:00:00|Brent|Huber|M|2003-07-25 00:00:00|
EMP-0167|1982-01-30 00:00:00|Hilel|Burns|M|2007-11-20 00:00:00|2013-04-30 00:00:00
EMP-0432|1982-08-07 00:00:00|Dale|Lott|M|2016-03-07 00:00:00|
EMP-0419|1982-12-19 00:00:00|Sybill|Hansen|F|2015-09-03 00:00:00|
EMP-0338|1988-05-02 00:00:00|Hunter|Roberts|M|2013-05-06 00:00:00|
EMP-0246|1982-07-28 00:00:00|Berk|Alexander|M|2010-07-06 00:00:00|2015-04-17 00:00:00
EMP-0085|1971-01-09 00:00:00|Vaughan|Suarez|M|2005-06-14 00:00:00|2009-07-01 00:00:00
EMP-0393|1979-12-23 00:00:00|Camden|Goodman|M|2014-11-04 00:00:00|
EMP-0455|1988-02-21 00:00:00|Leonard|Fowler|M|2007-05-31 00:00:00|
EMP-0253|1984-10-17 00:00:00|Wylie|Jones|M|2010-08-20 00:00:00|
EMP-0297|1975-10-19 00:00:00|Elijah|Workman|M|2011-11-09 00:00:00|
EMP-0262|1982-02-18 00:00:00|Bradley|Wise|M|2010-12-06 00:00:00|
EMP-0275|1980-03-21 00:00:00|Cecilia|Flynn|F|2011-03-17 00:00:00|2014-04-25 00:00:00
EMP-0125|1969-10-19 00:00:00|Baker|Perry|M|2006-09-11 00:00:00|2012-03-19 00:00:00
EMP-0326|1977-04-19 00:00:00|Germane|Pena|F|2012-10-30 00:00:00|
EMP-0363|1980-04-07 00:00:00|Tad|Ward|M|2014-01-30 00:00:00|
EMP-0187|1982-12-15 00:00:00|Ray|Morton|M|2008-06-26 00:00:00|2011-12-15 00:00:00
EMP-0211|1977-04-12 00:00:00|Mechelle|Finley|F|2009-02-25 00:00:00|2015-02-25 00:00:00
EMP-0171|1967-06-18 00:00:00|Kristen|Lowe|F|2007-12-19 00:00:00|2011-02-11 00:00:00
EMP-0065|1979-11-24 00:00:00|George|Christian|M|2004-11-01 00:00:00|
EMP-0226|1985-04-13 00:00:00|Abdul|Noble|M|2009-07-06 00:00:00|2011-12-13 00:00:00
EMP-0299|1982-12-13 00:00:00|Hayes|Molina|M|2011-11-30 00:00:00|
EMP-0257|1970-06-14 00:00:00|Karly|Rivas|F|2010-09-20 00:00:00|
EMP-0304|1970-03-14 00:00:00|Sandra|Hanson|F|2012-02-14 00:00:00|
EMP-0426|1986-09-05 00:00:00|Michael|Gill|M|2016-01-22 00:00:00|
EMP-0195|1969-06-09 00:00:00|August|Brennan|M|2008-09-11 00:00:00|
EMP-0209|1982-05-13 00:00:00|Melodie|Berry|F|2009-02-18 00:00:00|2013-03-20 00:00:00
EMP-0382|1972-07-08 00:00:00|Anne|Armstrong|F|2014-09-03 00:00:00|
EMP-0038|1969-05-24 00:00:00|Ezra|Hahn|M|2004-01-05 00:00:00|2007-06-13 00:00:00
EMP-0165|1977-09-09 00:00:00|Nigel|Buckley|M|2007-11-06 00:00:00|2014-08-04 00:00:00
EMP-0134|1965-07-31 00:00:00|Nola|Love|F|2006-12-19 00:00:00|2015-09-23 00:00:00
EMP-0418|1984-10-19 00:00:00|Martha|Raymond|F|2015-08-12 00:00:00|
EMP-0229|1984-06-06 00:00:00|Oleg|Massey|M|2009-09-11 00:00:00|2015-04-07 00:00:00
EMP-0240|1972-04-15 00:00:00|Eleanor|Wagner|F|2010-04-06 00:00:00|2015-02-13 00:00:00
EMP-0236|1978-07-04 00:00:00|Forrest|Schwartz|M|2009-12-21 00:00:00|2012-08-22 00:00:00
EMP-0149|1976-11-18 00:00:00|Louis|Summers|M|2007-05-16 00:00:00|2009-12-09 00:00:00
EMP-0409|1979-05-10 00:00:00|Chava|Gilbert|F|2015-05-04 00:00:00|
EMP-0078|1979-05-08 00:00:00|Yoshio|Pierce|M|2005-04-15 00:00:00|2013-04-10 00:00:00
EMP-0014|1977-07-06 00:00:00|Nyssa|Mack|F|2002-07-01 00:00:00|2008-08-11 00:00:00
EMP-0192|1983-05-09 00:00:00|Phelan|Thomas|M|2008-09-08 00:00:00|
EMP-0112|1962-11-28 00:00:00|Drew|Paul|M|2006-05-29 00:00:00|
EMP-0186|1980-02-26 00:00:00|Magee|Day|M|2008-06-17 00:00:00|2011-05-09 00:00:00
EMP-0333|1973-04-03 00:00:00|Drew|Pena|M|2013-02-06 00:00:00|
EMP-0026|1978-06-25 00:00:00|Jameson|Franklin|M|2003-07-28 00:00:00|2006-01-05 00:00:00
EMP-0053|1978-04-12 00:00:00|Tad|Hunter|M|2004-06-03 00:00:00|
EMP-0033|1975-03-25 00:00:00|Camden|Leonard|M|2003-09-25 00:00:00|
EMP-0073|1976-09-03 00:00:00|Samson|Hays|M|2005-03-07 00:00:00|
EMP-0108|1963-10-08 00:00:00|Driscoll|Norris|M|2006-04-18 00:00:00|
EMP-0321|1976-02-23 00:00:00|Roary|Walls|F|2012-08-28 00:00:00|
EMP-0083|1973-03-24 00:00:00|Emerald|Weber|F|2005-05-09 00:00:00|2013-08-29 00:00:00
EMP-0094|1981-02-10 00:00:00|Mufutau|Trevino|M|2005-10-17 00:00:00|2008-11-14 00:00:00
EMP-0100|1970-08-16 00:00:00|Keegan|Fernandez|M|2006-02-02 00:00:00|2011-10-27 00:00:00
EMP-0179|1977-02-26 00:00:00|Angela|Booker|F|2008-03-25 00:00:00|
EMP-0330|1986-12-15 00:00:00|Dexter|Frank|M|2012-12-04 00:00:00|
EMP-0239|1978-10-01 00:00:00|Hayley|Watkins|F|2010-03-31 00:00:00|2013-08-29 00:00:00
EMP-0001|1975-04-27 00:00:00|Clayton|Townsend|M|2002-07-01 00:00:00|2013-05-27 00:00:00
EMP-0127|1966-05-28 00:00:00|Tiger|Rodriguez|M|2006-10-13 00:00:00|2011-03-03 00:00:00
EMP-0205|1965-08-01 00:00:00|Jonah|Lucas|M|2008-12-08 00:00:00|
EMP-0349|1971-08-04 00:00:00|Tallulah|Bartlett|F|2013-08-28 00:00:00|
EMP-0063|1968-09-18 00:00:00|Ruth|Roy|F|2004-10-12 00:00:00|2008-12-29 00:00:00
EMP-0403|1974-09-18 00:00:00|Naomi|Duke|F|2015-03-06 00:00:00|
EMP-0314|1982-06-18 00:00:00|Giselle|Clarke|F|2012-06-04 00:00:00|
EMP-0395|1980-08-07 00:00:00|Steel|Norris|M|2014-12-30 00:00:00|
EMP-0080|1962-05-10 00:00:00|Adrienne|Atkins|F|2005-04-20 00:00:00|
EMP-0159|1977-12-22 00:00:00|Roth|Simpson|M|2007-09-03 00:00:00|2011-09-13 00:00:00
EMP-0106|1970-09-20 00:00:00|Calvin|Phelps|M|2006-03-16 00:00:00|
EMP-0398|1985-09-13 00:00:00|Elijah|Gillespie|M|2015-01-28 00:00:00|
EMP-0374|1971-12-12 00:00:00|Allen|Roberson|M|2014-05-19 00:00:00|
EMP-0088|1971-02-08 00:00:00|Tanner|Duffy|M|2005-08-12 00:00:00|2008-06-06 00:00:00
EMP-0279|1984-07-23 00:00:00|Buckminster|Vance|M|2011-05-09 00:00:00|
EMP-0214|1979-01-18 00:00:00|Plato|Burt|M|2009-04-07 00:00:00|
EMP-0185|1968-12-06 00:00:00|Vladimir|Blackburn|M|2008-06-04 00:00:00|2012-09-03 00:00:00
EMP-0107|1969-04-11 00:00:00|Jordan|Battle|M|2006-03-27 00:00:00|
EMP-0224|1978-07-16 00:00:00|Vladimir|Todd|M|2009-06-02 00:00:00|2012-04-27 00:00:00
EMP-0035|1970-11-02 00:00:00|Raja|Hobbs|M|2003-10-29 00:00:00|2015-10-29 00:00:00
EMP-0372|1984-01-02 00:00:00|Zane|Patel|M|2014-05-12 00:00:00|
EMP-0050|1969-12-30 00:00:00|Merrill|Ray|M|2004-05-10 00:00:00|2011-09-14 00:00:00
EMP-0281|1984-03-25 00:00:00|Serena|Morse|F|2011-05-19 00:00:00|
EMP-0286|1984-12-05 00:00:00|Nicholas|Coleman|M|2011-06-08 00:00:00|2014-02-14 00:00:00
EMP-0376|1973-01-23 00:00:00|Madison|Russell|F|2014-05-23 00:00:00|
EMP-0423|1983-10-07 00:00:00|Joel|Patel|M|2016-01-04 00:00:00|
EMP-0071|1977-06-15 00:00:00|Marcia|Garcia|F|2005-02-01 00:00:00|2010-04-09 00:00:00
EMP-0051|1979-01-29 00:00:00|Davis|Navarro|M|2004-05-28 00:00:00|2013-07-02 00:00:00
EMP-0351|1983-04-08 00:00:00|Fuller|Padilla|M|2013-09-18 00:00:00|
EMP-0090|1969-01-23 00:00:00|Constance|Hendrix|F|2005-09-05 00:00:00|2012-02-28 00:00:00
EMP-0175|1976-11-22 00:00:00|Jesse|Alston|M|2008-02-05 00:00:00|
EMP-0315|1975-11-20 00:00:00|Brent|Morrison|M|2012-06-21 00:00:00|
EMP-0430|1982-04-18 00:00:00|Ila|Irwin|F|2004-12-30 00:00:00|
EMP-0124|1969-12-31 00:00:00|Finn|Wiley|M|2006-09-04 00:00:00|
EMP-0396|1985-04-30 00:00:00|Colt|French|M|2015-01-14 00:00:00|
EMP-0191|1979-06-14 00:00:00|Montana|Ramirez|F|2008-09-04 00:00:00|2012-10-03 00:00:00
EMP-0170|1963-02-03 00:00:00|Philip|Vega|M|2007-12-18 00:00:00|
EMP-0359|1978-06-28 00:00:00|Jade|York|F|2013-12-31 00:00:00|
EMP-0343|1983-05-15 00:00:00|Athena|Riggs|F|2013-07-10 00:00:00|
EMP-0356|1971-02-03 00:00:00|Phillip|Bowman|M|2013-12-06 00:00:00|
EMP-0074|1977-01-28 00:00:00|Vance|Cunningham|M|2005-03-15 00:00:00|2008-10-16 00:00:00
EMP-0163|1974-10-04 00:00:00|Orla|Hoffman|F|2007-09-27 00:00:00|2016-07-19 00:00:00
EMP-0340|1985-01-05 00:00:00|Michael|Osborn|M|2013-06-05 00:00:00|
EMP-0232|1975-09-11 00:00:00|Murphy|Nolan|M|2009-10-28 00:00:00|
EMP-0140|1964-05-22 00:00:00|Sara|Serrano|F|2007-02-08 00:00:00|
EMP-0032|1965-03-18 00:00:00|Kellie|Randolph|F|2003-09-18 00:00:00|2007-12-18 00:00:00
EMP-0416|1979-07-08 00:00:00|Dustin|Maxwell|M|2015-07-20 00:00:00|
EMP-0019|1978-03-28 00:00:00|Silas|Garza|M|2002-07-01 00:00:00|2006-01-20 00:00:00
EMP-0361|1981-03-28 00:00:00|Kibo|Rodriquez|M|2014-01-03 00:00:00|
EMP-0386|1982-08-24 00:00:00|Evan|Sullivan|M|2014-09-24 00:00:00|2016-10-04 00:00:00
EMP-0435|1974-02-08 00:00:00|Amery|Lynn|M|2016-04-04 00:00:00|
EMP-0220|1966-11-20 00:00:00|Stone|Guzman|M|2009-05-11 00:00:00|
EMP-0271|1979-03-31 00:00:00|Emerson|Dickson|M|2011-02-25 00:00:00|
EMP-0433|1972-03-18 00:00:00|Claire|Justice|F|2016-03-21 00:00:00|
EMP-0367|1989-01-31 00:00:00|Zephania|Burnett|M|2014-03-07 00:00:00|
EMP-0184|1978-03-22 00:00:00|Colin|Franks|M|2008-05-07 00:00:00|2013-02-15 00:00:00
EMP-0136|1967-06-19 00:00:00|Armando|Whitley|M|2007-01-05 00:00:00|
EMP-0109|1979-11-23 00:00:00|Brennan|Black|M|2006-04-24 00:00:00|2015-12-18 00:00:00
EMP-0270|1978-08-04 00:00:00|Philip|Conway|M|2011-02-09 00:00:00|
EMP-0332|1987-11-06 00:00:00|Freya|Grant|F|2012-12-28 00:00:00|
EMP-0274|1968-07-29 00:00:00|Catherine|Booker|F|2011-03-03 00:00:00|
EMP-0004|1972-09-08 00:00:00|Stephen|Mccray|M|2002-07-01 00:00:00|2012-06-12 00:00:00
EMP-0095|1971-12-26 00:00:00|Alan|Stark|M|2005-10-18 00:00:00|2011-07-13 00:00:00
EMP-0008|1970-05-09 00:00:00|Bruce|George|M|2002-07-01 00:00:00|2016-05-18 00:00:00
EMP-0252|1979-09-14 00:00:00|Ruby|York|F|2010-08-09 00:00:00|2014-02-24 00:00:00
EMP-0364|1980-10-05 00:00:00|Clarke|Barton|M|2014-01-28 00:00:00|
EMP-0336|1980-02-22 00:00:00|Kylan|Bullock|F|2013-03-06 00:00:00|
EMP-0102|1976-03-11 00:00:00|Lacota|Stein|F|2006-03-03 00:00:00|2013-08-14 00:00:00
EMP-0425|1983-05-04 00:00:00|Henry|Payne|M|2016-01-13 00:00:00|
EMP-0248|1978-04-30 00:00:00|Demetrius|Morales|M|2010-07-16 00:00:00|2016-04-28 00:00:00
EMP-0044|1979-12-09 00:00:00|Kyla|Grimes|F|2004-03-03 00:00:00|2014-02-07 00:00:00
EMP-0138|1970-02-28 00:00:00|Cole|Maldonado|M|2007-01-26 00:00:00|
EMP-0348|1984-07-06 00:00:00|Clarke|Oconnor|M|2013-08-28 00:00:00|
EMP-0266|1978-07-14 00:00:00|Lance|Terry|M|2010-12-30 00:00:00|
EMP-0178|1969-12-14 00:00:00|Oscar|Pierce|M|2008-03-11 00:00:00|
EMP-0404|1971-12-27 00:00:00|Wing|Klein|M|2015-03-12 00:00:00|
EMP-0366|1979-10-08 00:00:00|Amos|Glover|M|2014-02-26 00:00:00|
EMP-0041|1969-11-03 00:00:00|Trevor|Nicholson|M|2004-02-19 00:00:00|2013-05-10 00:00:00
EMP-0194|1971-04-01 00:00:00|Alana|Woodard|F|2008-09-09 00:00:00|2014-12-11 00:00:00
EMP-0329|1975-06-16 00:00:00|Brenden|Bush|M|2012-11-21 00:00:00|2015-05-18 00:00:00
EMP-0128|1964-12-07 00:00:00|Allegra|Burnett|F|2006-10-30 00:00:00|
