account_id|vendor_id|effective_dt|iban|status
ACT-65432|VD-0026|2011-06-14 00:00:00|CH6295481251194359209|inactive
ACT-38800|VD-0354|2016-12-20 00:00:00|CH9274025627928684850|inactive
ACT-52016|VD-0163|2012-01-26 00:00:00|CH2060297461537563374|active
ACT-35016|VD-0265|2006-10-30 00:00:00|CH1126101945033458625|active
ACT-66456|VD-0239|2016-12-29 00:00:00|CH4177271458575861173|active
ACT-44761|VD-0096|2015-12-07 00:00:00|CH1579431672934807579|inactive
ACT-80894|VD-0311|2015-01-27 00:00:00|CH4282903628385137361|inactive
ACT-49184|VD-0290|2016-02-16 00:00:00|CH8161396273526163845|inactive
ACT-56490|VD-0382|2015-08-13 00:00:00|CH5535376510773216455|inactive
ACT-78077|VD-0378|2014-10-06 00:00:00|CH7314737838029883858|inactive
ACT-73567|VD-0238|2009-02-18 00:00:00|CH1894578171682457454|inactive
ACT-77042|VD-0356|2013-07-03 00:00:00|CH2477636504800796693|active
ACT-71693|VD-0067|2011-10-24 00:00:00|CH9859085497185590401|inactive
ACT-98391|VD-0220|2016-06-16 00:00:00|CH0471457072764287172|active
ACT-93155|VD-0129|2015-01-20 00:00:00|CH4842106364325498056|inactive
ACT-69672|VD-0155|2016-11-08 00:00:00|CH4576595131483673957|active
ACT-52964|VD-0365|2016-07-12 00:00:00|CH3128535305348050090|inactive
ACT-98789|VD-0585|2016-10-28 00:00:00|CH2467109367542100148|inactive
ACT-50240|VD-0566|2014-09-23 00:00:00|CH4821130720360288618|inactive
ACT-32776|VD-0511|2014-10-29 00:00:00|CH1712541293200665393|inactive
ACT-85307|VD-0297|2016-12-14 00:00:00|CH3872879122389125527|inactive
ACT-60717|VD-0540|2014-05-12 00:00:00|CH8605667236225981275|inactive
ACT-65629|VD-0220|2014-10-21 00:00:00|CH6151061843656583763|inactive
ACT-31101|VD-0068|2016-12-28 00:00:00|CH7620394968875518984|active
ACT-34103|VD-0473|2016-11-24 00:00:00|CH5760591087748192053|inactive
ACT-21469|VD-0515|2016-12-27 00:00:00|CH1194843627792570677|inactive
ACT-36403|VD-0307|2011-05-23 00:00:00|CH1274817770147413431|inactive
ACT-65103|VD-0556|2015-10-29 00:00:00|CH8730500516884225036|inactive
ACT-32860|VD-0219|2014-06-02 00:00:00|CH1411501167593232619|inactive
ACT-65075|VD-0333|2016-04-13 00:00:00|CH7312679303247226069|inactive
ACT-99015|VD-0183|2010-10-14 00:00:00|CH3933529170885506294|inactive
ACT-95862|VD-0526|2011-11-14 00:00:00|CH7662760544240052921|active
ACT-74648|VD-0153|2016-08-02 00:00:00|CH4217861853297690788|inactive
ACT-28243|VD-0033|2014-03-18 00:00:00|CH1349829746673464281|inactive
ACT-37294|VD-0249|2013-02-15 00:00:00|CH1780847124604827917|inactive
ACT-79078|VD-0381|2016-12-05 00:00:00|CH7316285672225824658|active
ACT-16947|VD-0208|2009-07-17 00:00:00|CH6326799231004227755|active
ACT-81296|VD-0552|2016-12-28 00:00:00|CH8729499478213548344|active
ACT-39000|VD-0422|2016-11-30 00:00:00|CH7750728152980491584|inactive
ACT-38680|VD-0479|2016-09-01 00:00:00|CH1685323989729782422|inactive
ACT-63364|VD-0553|2016-09-02 00:00:00|CH2789479462042213773|inactive
ACT-82140|VD-0415|2015-06-12 00:00:00|CH2284113576710807414|active
ACT-93607|VD-0106|2015-11-13 00:00:00|CH0731889255001637978|active
ACT-37672|VD-0318|2011-01-07 00:00:00|CH1544283381980559523|inactive
ACT-77439|VD-0195|2013-11-06 00:00:00|CH8041944454880348728|inactive
ACT-56381|VD-0326|2016-12-12 00:00:00|CH6305901171484201234|inactive
ACT-59943|VD-0486|2016-11-04 00:00:00|CH5351887338311787342|active
ACT-73327|VD-0371|2016-12-29 00:00:00|CH0747335812615392568|inactive
ACT-29780|VD-0469|2012-05-29 00:00:00|CH8708929528132582305|inactive
ACT-56357|VD-0130|2014-03-25 00:00:00|CH0211070322596110615|inactive
ACT-69077|VD-0252|2016-12-23 00:00:00|CH0756107238873016667|inactive
ACT-55028|VD-0432|2016-04-13 00:00:00|CH4172365192949087501|active
ACT-73473|VD-0375|2006-06-12 00:00:00|CH5282769493020973223|inactive
ACT-79022|VD-0543|2016-12-12 00:00:00|CH3108867764501074987|inactive
ACT-83476|VD-0011|2016-11-11 00:00:00|CH4973970476230131033|inactive
ACT-56843|VD-0263|2016-12-16 00:00:00|CH1579519957438312181|active
ACT-91666|VD-0541|2014-12-30 00:00:00|CH5373304092396959699|inactive
ACT-64881|VD-0237|2015-07-10 00:00:00|CH7938075469817553281|inactive
ACT-86181|VD-0207|2016-01-25 00:00:00|CH1919234805522895529|active
ACT-30824|VD-0488|2016-01-13 00:00:00|CH8788490975536626929|active
ACT-66156|VD-0161|2013-05-30 00:00:00|CH3068272525733417130|active
ACT-78254|VD-0010|2016-11-17 00:00:00|CH6326675965049568236|active
ACT-45957|VD-0037|2016-12-01 00:00:00|CH3522663283220753767|inactive
ACT-40278|VD-0183|2015-07-02 00:00:00|CH7418608068852190043|inactive
ACT-54947|VD-0070|2016-09-29 00:00:00|CH1921374738967580233|inactive
ACT-10046|VD-0518|2013-03-06 00:00:00|CH7589318523705291485|inactive
ACT-96123|VD-0323|2016-12-29 00:00:00|CH3904578008009157561|active
ACT-66114|VD-0439|2016-11-15 00:00:00|CH9453232787612363542|inactive
ACT-71501|VD-0487|2016-12-27 00:00:00|CH4661187395880869416|inactive
ACT-94161|VD-0253|2016-03-15 00:00:00|CH9574626408584013238|inactive
ACT-75012|VD-0415|2015-05-21 00:00:00|CH7472625188136596126|inactive
ACT-79752|VD-0173|2016-03-22 00:00:00|CH2543251326046747253|inactive
ACT-80146|VD-0512|2011-09-15 00:00:00|CH4081643623206419673|inactive
ACT-97626|VD-0200|2011-03-29 00:00:00|CH8871083503612224843|active
ACT-82021|VD-0003|2015-10-26 00:00:00|CH1748228895423905910|inactive
ACT-12934|VD-0495|2016-04-04 00:00:00|CH6797399571480887339|active
ACT-75674|VD-0417|2016-08-30 00:00:00|CH1045402029236819056|inactive
ACT-32190|VD-0392|2012-08-07 00:00:00|CH4992262998418013453|inactive
ACT-39065|VD-0402|2011-06-30 00:00:00|CH9282448471106851470|active
ACT-72077|VD-0253|2013-04-12 00:00:00|CH7925961815711503089|inactive
ACT-19870|VD-0181|2016-06-27 00:00:00|CH2515466864233729942|inactive
ACT-24881|VD-0017|2016-12-22 00:00:00|CH7109808146688944407|active
ACT-12914|VD-0247|2010-12-30 00:00:00|CH1997037036431125760|inactive
ACT-14545|VD-0440|2013-10-28 00:00:00|CH8835396963775936023|active
ACT-95008|VD-0168|2007-06-11 00:00:00|CH5046304635926989209|inactive
ACT-21680|VD-0132|2016-12-23 00:00:00|CH1919145648363462246|active
ACT-60283|VD-0411|2013-07-16 00:00:00|CH3733107573505838365|inactive
ACT-44372|VD-0447|2016-11-10 00:00:00|CH3726828003491935878|active
ACT-45716|VD-0325|2015-04-23 00:00:00|CH2613192397786795877|active
ACT-34865|VD-0484|2016-09-22 00:00:00|CH1295818225410273224|inactive
ACT-48113|VD-0471|2015-02-06 00:00:00|CH5838878152281639930|inactive
ACT-43713|VD-0347|2016-12-30 00:00:00|CH5186622331713979430|inactive
ACT-92626|VD-0379|2016-01-22 00:00:00|CH6460697479693067405|inactive
ACT-46813|VD-0167|2009-05-08 00:00:00|CH4780594226585778678|inactive
ACT-64642|VD-0331|2011-09-30 00:00:00|CH8079097353392046593|inactive
ACT-84290|VD-0195|2012-02-17 00:00:00|CH7953782168965141896|inactive
ACT-22491|VD-0216|2012-08-13 00:00:00|CH5857979325035755259|inactive
ACT-21531|VD-0453|2016-10-07 00:00:00|CH5735904575146682560|inactive
ACT-17322|VD-0280|2015-03-31 00:00:00|CH3240905298528654679|active
ACT-26733|VD-0056|2016-12-21 00:00:00|CH8016460903045779129|active
ACT-57382|VD-0154|2013-06-17 00:00:00|CH4761916907180265438|inactive
ACT-14703|VD-0037|2016-12-22 00:00:00|CH5769339594676534080|active
ACT-82961|VD-0396|2015-01-28 00:00:00|CH7724029470387578396|inactive
ACT-82686|VD-0127|2014-06-30 00:00:00|CH3318460442828004238|inactive
ACT-81340|VD-0574|2011-03-14 00:00:00|CH8847533552524334695|inactive
ACT-96269|VD-0444|2010-07-09 00:00:00|CH3746921617537778521|active
ACT-74827|VD-0428|2016-04-22 00:00:00|CH7745708160456405611|active
ACT-67069|VD-0019|2014-02-17 00:00:00|CH7419232519262237912|inactive
ACT-20846|VD-0169|2016-12-09 00:00:00|CH8058833079304970605|inactive
ACT-33095|VD-0486|2011-02-07 00:00:00|CH8136429427308729868|inactive
ACT-74307|VD-0056|2012-06-21 00:00:00|CH3017019004631858585|inactive
ACT-71889|VD-0144|2016-07-01 00:00:00|CH4830347445144429509|inactive
ACT-82244|VD-0439|2016-03-31 00:00:00|CH1363700419468672218|active
ACT-48552|VD-0103|2016-12-30 00:00:00|CH1592969627167072020|inactive
ACT-63530|VD-0527|2016-05-26 00:00:00|CH4188602492638104847|inactive
ACT-82450|VD-0313|2016-12-06 00:00:00|CH7119276748299977664|inactive
ACT-63290|VD-0203|2016-11-17 00:00:00|CH2821879054223739009|inactive
ACT-64604|VD-0248|2016-08-23 00:00:00|CH0419715716314893680|inactive
ACT-51249|VD-0459|2012-03-08 00:00:00|CH5731586775497926221|active
ACT-21360|VD-0236|2016-08-16 00:00:00|CH2003013534146771253|active
ACT-18354|VD-0258|2010-12-30 00:00:00|CH6482084801262404759|inactive
ACT-14841|VD-0489|2015-06-16 00:00:00|CH8382941758361794043|active
ACT-31326|VD-0340|2016-05-17 00:00:00|CH4563281601617920710|inactive
ACT-30311|VD-0475|2015-10-22 00:00:00|CH4825484631870263292|active
ACT-50064|VD-0298|2013-08-23 00:00:00|CH5644004930778992822|inactive
ACT-33217|VD-0506|2016-02-03 00:00:00|CH5438859690639680312|inactive
ACT-32752|VD-0334|2008-04-29 00:00:00|CH2993720704072052983|inactive
ACT-18377|VD-0008|2016-12-05 00:00:00|CH9194493958634064873|inactive
ACT-33676|VD-0585|2011-08-31 00:00:00|CH5868495588726069067|inactive
ACT-23907|VD-0302|2016-08-22 00:00:00|CH9372109492994556557|inactive
ACT-11213|VD-0399|2016-12-01 00:00:00|CH4761380200014442590|active
ACT-58396|VD-0586|2014-11-13 00:00:00|CH7048988837385943286|inactive
ACT-35701|VD-0577|2007-05-31 00:00:00|CH2037519431253102799|inactive
ACT-14921|VD-0347|2015-08-26 00:00:00|CH1747536403219509950|inactive
ACT-68898|VD-0035|2012-05-23 00:00:00|CH5580266330168239669|inactive
ACT-59507|VD-0418|2015-11-19 00:00:00|CH5224011225857273910|inactive
ACT-61168|VD-0495|2011-02-21 00:00:00|CH1414902775533846289|inactive
ACT-34331|VD-0544|2015-10-12 00:00:00|CH2992875395235105800|inactive
ACT-75960|VD-0351|2015-11-26 00:00:00|CH7916266164822895717|active
ACT-15137|VD-0556|2015-06-09 00:00:00|CH7395252957448975143|inactive
ACT-87710|VD-0219|2016-09-14 00:00:00|CH5931524487265185055|inactive
ACT-79340|VD-0438|2014-06-30 00:00:00|CH9610042916005669311|inactive
ACT-63334|VD-0474|2014-09-10 00:00:00|CH3969693565453708011|inactive
ACT-59087|VD-0156|2014-08-05 00:00:00|CH4491989159393983520|inactive
ACT-68491|VD-0012|2007-12-21 00:00:00|CH7594555527168171456|inactive
ACT-52272|VD-0571|2011-04-06 00:00:00|CH4070077221041802211|inactive
ACT-39054|VD-0563|2016-02-23 00:00:00|CH5261146513367366321|active
ACT-19819|VD-0474|2014-07-07 00:00:00|CH9495644797033403099|inactive
ACT-66674|VD-0420|2015-09-21 00:00:00|CH7438263464546678528|inactive
ACT-83943|VD-0380|2015-03-04 00:00:00|CH9027477895350295117|active
ACT-73830|VD-0094|2011-06-28 00:00:00|CH5133615193775561681|inactive
ACT-94569|VD-0228|2016-12-28 00:00:00|CH4850925012892157555|inactive
ACT-34928|VD-0458|2016-06-21 00:00:00|CH3485426769350437895|inactive
ACT-46884|VD-0400|2014-09-08 00:00:00|CH6827498205265324292|inactive
ACT-55642|VD-0157|2015-08-07 00:00:00|CH3424564466235361496|inactive
ACT-53050|VD-0452|2011-01-07 00:00:00|CH8119090900291807523|active
ACT-36031|VD-0167|2013-07-16 00:00:00|CH6243892974377787940|inactive
ACT-24274|VD-0391|2016-12-12 00:00:00|CH3721604822847213967|inactive
ACT-36422|VD-0247|2016-12-19 00:00:00|CH8528708369001667103|active
ACT-25848|VD-0377|2015-05-06 00:00:00|CH1425132407697955622|inactive
ACT-49237|VD-0021|2015-09-30 00:00:00|CH2174935861956473127|inactive
ACT-78834|VD-0399|2015-02-10 00:00:00|CH7915906297888436866|inactive
ACT-52716|VD-0250|2015-07-16 00:00:00|CH0252609769719479916|inactive
ACT-91348|VD-0475|2014-02-14 00:00:00|CH2564243656688328311|inactive
ACT-20462|VD-0153|2015-09-16 00:00:00|CH1022764359198462191|inactive
ACT-52528|VD-0200|2008-07-14 00:00:00|CH2805160765500796309|inactive
ACT-44984|VD-0462|2016-08-03 00:00:00|CH0285958400839402775|inactive
ACT-17002|VD-0496|2016-12-02 00:00:00|CH3175369124453056005|active
ACT-31391|VD-0154|2016-09-28 00:00:00|CH3556515388077242530|active
ACT-72523|VD-0403|2016-11-16 00:00:00|CH6954629208609453492|inactive
ACT-44714|VD-0068|2016-12-09 00:00:00|CH6178870644216712937|inactive
ACT-20817|VD-0453|2012-12-28 00:00:00|CH1597469885946456154|inactive
ACT-75526|VD-0555|2012-05-29 00:00:00|CH6483489521512081975|inactive
ACT-80166|VD-0171|2016-07-04 00:00:00|CH0975382478571743488|active
ACT-82026|VD-0074|2013-09-02 00:00:00|CH4746402941314752833|inactive
ACT-77459|VD-0558|2016-03-04 00:00:00|CH9258971138186214180|inactive
ACT-30557|VD-0326|2016-12-09 00:00:00|CH8684655558485218399|inactive
ACT-33819|VD-0387|2016-12-16 00:00:00|CH6811271416734359787|active
ACT-26811|VD-0197|2010-08-12 00:00:00|CH5752738985740304418|active
ACT-97903|VD-0179|2012-12-10 00:00:00|CH9548637414751989039|inactive
ACT-25062|VD-0538|2016-09-23 00:00:00|CH0908151859625682822|active
ACT-45298|VD-0421|2016-08-16 00:00:00|CH2590498173022364897|inactive
ACT-33235|VD-0027|2015-01-15 00:00:00|CH2226517991157147438|inactive
ACT-47243|VD-0144|2015-09-03 00:00:00|CH4845016607095787392|inactive
ACT-69218|VD-0539|2007-09-03 00:00:00|CH1517542905111827751|inactive
ACT-12550|VD-0170|2013-10-16 00:00:00|CH7410280338064021116|inactive
ACT-79584|VD-0485|2014-04-24 00:00:00|CH1580324757413146807|active
ACT-31268|VD-0041|2007-08-16 00:00:00|CH5432418936612992884|inactive
ACT-60546|VD-0101|2016-09-30 00:00:00|CH7958251647876029790|inactive
ACT-39896|VD-0369|2016-09-27 00:00:00|CH2293474378429673686|inactive
ACT-88334|VD-0175|2016-05-06 00:00:00|CH7051296043317277725|active
ACT-80064|VD-0065|2015-11-20 00:00:00|CH0819980653456723369|inactive
ACT-98594|VD-0374|2015-08-27 00:00:00|CH7374478747338324610|inactive
ACT-78957|VD-0288|2005-10-17 00:00:00|CH0360699480609571351|inactive
ACT-16270|VD-0450|2013-04-26 00:00:00|CH3328221238395216919|active
ACT-93392|VD-0426|2015-05-12 00:00:00|CH2266706860570270917|active
ACT-88955|VD-0533|2015-05-12 00:00:00|CH6588737221962266426|active
ACT-13307|VD-0375|2015-09-25 00:00:00|CH5906184603500661013|active
ACT-31854|VD-0271|2016-11-04 00:00:00|CH4182014084889124055|active
ACT-46329|VD-0236|2015-01-16 00:00:00|CH2860854568877700654|inactive
ACT-43630|VD-0031|2016-12-09 00:00:00|CH2061751372021748483|inactive
ACT-62953|VD-0023|2014-02-28 00:00:00|CH7319445800904089133|active
ACT-35870|VD-0479|2016-12-29 00:00:00|CH2375941753308946225|inactive
ACT-21622|VD-0562|2016-11-15 00:00:00|CH5575406304972639258|inactive
ACT-76579|VD-0313|2016-12-28 00:00:00|CH4591169605260028767|active
ACT-64890|VD-0297|2016-12-07 00:00:00|CH7007038779387088278|active
ACT-66945|VD-0497|2015-10-28 00:00:00|CH9286648667668831577|inactive
ACT-14955|VD-0522|2011-04-11 00:00:00|CH9604810244126547166|active
ACT-75519|VD-0330|2008-07-31 00:00:00|CH3052897035722479896|inactive
ACT-31106|VD-0361|2016-09-22 00:00:00|CH3417954878492614789|active
ACT-78670|VD-0323|2016-06-08 00:00:00|CH4530970364374839702|inactive
ACT-49379|VD-0166|2016-12-05 00:00:00|CH2575405471175106087|inactive
ACT-96224|VD-0194|2011-07-27 00:00:00|CH4066130103130664871|inactive
ACT-45226|VD-0283|2016-10-28 00:00:00|CH6004983433420718121|inactive
ACT-91982|VD-0372|2014-02-12 00:00:00|CH0930005355888651637|inactive
ACT-12152|VD-0571|2012-09-13 00:00:00|CH3797542252586376553|active
ACT-71179|VD-0490|2016-10-19 00:00:00|CH8874156412605852028|inactive
ACT-57818|VD-0520|2011-08-10 00:00:00|CH9110495632652837497|inactive
ACT-67461|VD-0241|2016-02-03 00:00:00|CH7912773641394558686|inactive
ACT-93169|VD-0340|2016-08-24 00:00:00|CH1724490049413005304|active
ACT-84317|VD-0514|2009-06-15 00:00:00|CH6843505363821551837|inactive
ACT-24994|VD-0394|2016-12-15 00:00:00|CH8350908825256732797|active
ACT-47698|VD-0514|2016-12-14 00:00:00|CH2475423120778463638|active
ACT-65002|VD-0317|2013-11-11 00:00:00|CH3487234299564175046|inactive
ACT-60115|VD-0066|2014-11-19 00:00:00|CH1592009810416877934|inactive
ACT-10785|VD-0036|2016-12-16 00:00:00|CH4308292073529548888|inactive
ACT-58839|VD-0374|2016-05-17 00:00:00|CH7595324706192819337|inactive
ACT-80815|VD-0587|2012-01-05 00:00:00|CH2337906099856914445|inactive
ACT-69820|VD-0347|2015-10-23 00:00:00|CH8292082281230054417|inactive
ACT-11863|VD-0192|2013-04-05 00:00:00|CH3130691581528851777|active
ACT-65589|VD-0209|2014-08-21 00:00:00|CH6637145939353097498|active
ACT-10550|VD-0132|2016-11-30 00:00:00|CH0257272023634888047|inactive
ACT-36376|VD-0134|2015-11-25 00:00:00|CH5079796561801298745|active
ACT-60161|VD-0394|2016-08-17 00:00:00|CH3463595090468028967|inactive
ACT-77585|VD-0087|2016-09-02 00:00:00|CH3792097181326358410|active
ACT-43626|VD-0187|2016-12-30 00:00:00|CH9743273689422404688|inactive
ACT-41861|VD-0539|2011-09-30 00:00:00|CH7179625645626090245|inactive
ACT-68450|VD-0564|2016-08-22 00:00:00|CH5940153904868673164|inactive
ACT-30654|VD-0136|2013-10-10 00:00:00|CH7804489039260798043|inactive
ACT-78863|VD-0059|2010-10-28 00:00:00|CH7496298198848245348|inactive
ACT-96243|VD-0282|2016-05-26 00:00:00|CH5567726551489528642|inactive
ACT-23791|VD-0261|2013-03-25 00:00:00|CH4490088965159069636|inactive
ACT-20260|VD-0128|2016-02-12 00:00:00|CH9012378737400864842|active
ACT-68764|VD-0117|2016-12-05 00:00:00|CH2215199995924484913|inactive
ACT-87049|VD-0553|2013-04-02 00:00:00|CH9797517066913638834|active
ACT-95693|VD-0342|2016-11-29 00:00:00|CH0972869735311306178|active
ACT-90712|VD-0450|2014-06-30 00:00:00|CH5272606983791498534|inactive
ACT-29771|VD-0104|2016-12-21 00:00:00|CH1367160849409698718|inactive
ACT-44561|VD-0341|2015-09-01 00:00:00|CH7761429245652737355|inactive
ACT-82058|VD-0202|2016-11-21 00:00:00|CH5902194130819557873|inactive
ACT-92498|VD-0131|2016-06-21 00:00:00|CH4223705582353997505|active
ACT-58735|VD-0326|2016-11-02 00:00:00|CH8395907850373418256|inactive
ACT-47319|VD-0260|2012-07-30 00:00:00|CH9079641769031536870|inactive
ACT-85311|VD-0019|2015-06-02 00:00:00|CH3774734542267611860|inactive
ACT-94819|VD-0413|2013-06-11 00:00:00|CH5417692414109421428|active
ACT-33690|VD-0339|2013-12-27 00:00:00|CH5160983766386370515|inactive
ACT-21716|VD-0471|2007-06-18 00:00:00|CH9116035028107525520|inactive
ACT-81500|VD-0230|2015-03-11 00:00:00|CH0414664904973778956|active
ACT-35925|VD-0154|2016-08-05 00:00:00|CH9043783013486900411|inactive
ACT-19031|VD-0102|2006-01-20 00:00:00|CH2627889247466133549|inactive
ACT-35660|VD-0566|2015-11-12 00:00:00|CH7283917062688226097|active
ACT-62280|VD-0511|2010-05-28 00:00:00|CH8466959308346845343|inactive
ACT-46363|VD-0492|2009-10-28 00:00:00|CH0873910979388943723|active
ACT-93506|VD-0222|2016-11-08 00:00:00|CH2024915964655103399|inactive
ACT-44748|VD-0279|2015-03-16 00:00:00|CH0987017585435289424|inactive
ACT-21405|VD-0412|2016-02-24 00:00:00|CH2535975902263392351|active
ACT-51128|VD-0480|2004-01-06 00:00:00|CH5867931475959724057|inactive
ACT-95076|VD-0419|2016-12-29 00:00:00|CH1651054917153824035|inactive
ACT-80354|VD-0269|2015-03-24 00:00:00|CH9638647913278556909|active
ACT-32453|VD-0221|2013-09-20 00:00:00|CH0519230045961997753|inactive
