bnk_trn_ref|exec_dt|debit_account_no|credit_account_no|amount|trn_desc
O28801Q42558|2014-06-27 00:00:00|CH0250407194135228410|CH9053624541702450052|22313.00|Payment of invoice(s) Eleventh Hour Events Planning
J36755G17643|2013-04-19 00:00:00|CH0246225152084380466|CH6067246472234989020|38685.24|Payment of invoice(s) Nikuda
D71210N45331|2011-02-04 00:00:00|CH0211681954985788087|CH2527167101216711292|12411.85|Payment of invoice(s) Exotechno
L55174N28413|2014-10-10 00:00:00|CH0231003557422817970|CH9053624541702450052|62723.43|Payment of invoice(s) Eleventh Hour Events Planning
V14180Q22567|2015-11-13 00:00:00|CH0246225152084380466|CH5039837041721813617|22986.93|Payment of invoice(s) Valent Technologies
N14610F51198|2014-01-24 00:00:00|CH0230382548836512713|CH8515468004216856140|17131.67|Payment of invoice(s) SecondTime
Z55401O25831|2011-12-09 00:00:00|CH0224806721788063113|CH5306138861270198557|42508.70|Payment of invoice(s) Tucker, Steel
P86079M14475|2011-12-09 00:00:00|CH0249176139269086161|CH7455625517759336763|13521.44|Payment of invoice(s) Holland, Ray
G95920M33297|2014-05-23 00:00:00|CH0204884126669364759|CH7794913888074892430|4295.27|Payment of invoice(s) Time  Utopia
D49905I62189|2015-10-09 00:00:00|CH0234139622897026693|CH1006820597721560021|32841.77|Payment of invoice(s) Time  Cupid
E86938M49117|2011-06-24 00:00:00|CH0228112131218563569|CH2527167101216711292|12410.77|Payment of invoice(s) Exotechno
H81817L29226|2011-04-08 00:00:00|CH0227578004931115071|CH8619980845374894676|10359.20|Payment of invoice(s) Tucker, Amos
P69869F47291|2014-10-03 00:00:00|CH0230382548836512713|CH9657399602049395479|47000.00|Payment of invoice(s) Candid Time
H98727N59275|2014-09-26 00:00:00|CH0224806721788063113|CH9657399602049395479|21899.78|Payment of invoice(s) Candid Time
G18562Q49366|2014-05-09 00:00:00|CH0234139622897026693|CH9053624541702450052|1140.52|Payment of invoice(s) Eleventh Hour Events Planning
B81533G63342|2007-09-28 00:00:00|CH0209336657619956939|CH7230353885308784585|2753.30|Payment of invoice(s) Ortega, Ivy
K81119Z14038|2014-10-17 00:00:00|CH0230382548836512713|CH9681610501955543047|6231.79|Payment of invoice(s) Bernard, Willa
K56954S55228|2012-07-13 00:00:00|CH0230382548836512713|CH9059378962100886748|6100.00|Payment of invoice(s) Walker, Claudia
H52838Q53432|2011-08-26 00:00:00|CH0215694012443589673|CH4319848653502076742|27935.17|Payment of invoice(s) Hines, Richard
R79492D27418|2010-01-15 00:00:00|CH0240900251892652380|CH3786008636498512184|15420.85|Payment of invoice(s) Spacewax
U69718W44183|2014-05-23 00:00:00|CH0228112131218563569|CH7794913888074892430|7328.98|Payment of invoice(s) Time  Utopia
B59996L16130|2011-12-02 00:00:00|CH0209336657619956939|CH5306138861270198557|6876.31|Payment of invoice(s) Tucker, Steel
N94146B16698|2012-04-13 00:00:00|CH0200974687337280877|CH8119090900291807523|64717.99|Payment of invoice(s) Techmania
M49065G13909|2011-11-18 00:00:00|CH0223943235385824696|CH1212759137980150044|104725.27|Payment of invoice(s) Plasma Time
O12053H10629|2013-03-08 00:00:00|CH0206003498982695304|CH0619016605702832070|15528.09|Payment of invoice(s) Pattern Time
V66807U30906|2010-12-31 00:00:00|CH0250222882407221959|CH1843640612996083104|14665.33|Payment of invoice(s) Time  Custom
I20262E47687|2011-06-10 00:00:00|CH0250407194135228410|CH0309890016342600758|16850.59|Payment of invoice(s) Time  Nano
H29084J47848|2013-03-22 00:00:00|CH0210540037202341452|CH2776009455955283091|31528.92|Payment of invoice(s) Aeora
J32432T79836|2013-12-06 00:00:00|CH0234139622897026693|CH4385645604347036714|24.14|Payment of invoice(s) Just Time
L70514Q14947|2011-07-22 00:00:00|CH0230382548836512713|CH3792097181326358410|6336.06|Payment of invoice(s) Triad Time
U96039H45138|2010-12-17 00:00:00|CH0228112131218563569|CH8729499478213548344|9849.30|Payment of invoice(s) CranialTech
Z15314I55274|2010-06-18 00:00:00|CH0225122731249592892|CH8822873783116711340|29619.25|Payment of invoice(s) Cascade Time
M28322F34933|2015-07-10 00:00:00|CH0211681954985788087|CH1006820597721560021|6371.79|Payment of invoice(s) Time  Cupid
J84589V46016|2010-06-25 00:00:00|CH0219850911967777927|CH2942996515512723075|11069.22|Payment of invoice(s) Wells, Julie
I94633E82099|2011-04-08 00:00:00|CH0206550793273688901|CH8619980845374894676|14666.55|Payment of invoice(s) Tucker, Amos
I17322P92374|2011-08-26 00:00:00|CH0234139622897026693|CH0747760994091143568|16062.67|Payment of invoice(s) NextTime
L66941X54315|2012-12-07 00:00:00|CH0240522825785605571|CH5113429654953071542|28678.74|Payment of invoice(s) Technohabitat
M89606M55269|2015-12-18 00:00:00|CH0219850911967777927|CH2825850289822331123|33084.25|Payment of invoice(s) Strickland, Leroy
C30432N42379|2013-04-05 00:00:00|CH0201609149519657198|CH9158352429367567345|15057.34|Payment of invoice(s) Tarantella Time!
V91421R53042|2006-12-15 00:00:00|CH0219850911967777927|CH7283917062688226097|35264.13|Payment of invoice(s) Finley, Vernon
W50878T70963|2016-06-17 00:00:00|CH0214401606376708007|CH3276374414353537218|18764.30|Payment of invoice(s) Time  Iron
O60556O95314|2013-03-22 00:00:00|CH0250222882407221959|CH2776009455955283091|14518.47|Payment of invoice(s) Aeora
I45983S20380|2013-07-05 00:00:00|CH0251073611707606644|CH3662109453683414593|5757.21|Payment of invoice(s) Prism Time
J75114H12469|2011-06-10 00:00:00|CH0224806721788063113|CH0309890016342600758|5329.42|Payment of invoice(s) Time  Nano
K90356P95092|2013-04-26 00:00:00|CH0214151982011227631|CH6067246472234989020|15929.34|Payment of invoice(s) Nikuda
Q38124T15903|2016-05-13 00:00:00|CH0223943235385824696|CH9436656786623704266|10362.30|Payment of invoice(s) Sign of the Times Advertising Agency
I43842I93767|2006-03-17 00:00:00|CH0207993305365962502|CH0972869735311306178|30918.27|Payment of invoice(s) Method Time
I72719M91725|2012-02-03 00:00:00|CH0214401606376708007|CH7455625517759336763|11509.81|Payment of invoice(s) Holland, Ray
T81272J65664|2016-04-15 00:00:00|CH0250407194135228410|CH9436656786623704266|200.00|Payment of invoice(s) Sign of the Times Advertising Agency
S72438M13045|2013-05-24 00:00:00|CH0237130733821422792|CH5088079216680893260|16034.04|Payment of invoice(s) Sapphire Time
N54284N73946|2013-04-05 00:00:00|CH0209049493360060612|CH8119090900291807523|562.32|Payment of invoice(s) Techmania
G45759F80062|2014-04-25 00:00:00|CH0234139622897026693|CH9797517066913638834|4967.62|Payment of invoice(s) OpenSource Time
L70893D21816|2013-02-15 00:00:00|CH0246225152084380466|CH7557621605158040369|2908.10|Payment of invoice(s) Harper, Clementine
M26634P79624|2013-04-19 00:00:00|CH0249176139269086161|CH7557621605158040369|50577.35|Payment of invoice(s) Harper, Clementine
B38451K82416|2011-03-18 00:00:00|CH0214894598926922337|CH2527167101216711292|19372.72|Payment of invoice(s) Exotechno
Q78599P19124|2016-04-01 00:00:00|CH0211681954985788087|CH9460991585208143427|61684.14|Payment of invoice(s) Zentime
R75988E16835|2012-02-10 00:00:00|CH0237130733821422792|CH2545663419699556099|23058.06|Payment of invoice(s) Nunez, Ivory
Q24406K40953|2008-08-29 00:00:00|CH0218229960514553128|CH7593862183954112384|17569.15|Payment of invoice(s) Ancestor Dreamtime
V77184T65155|2010-12-24 00:00:00|CH0223943235385824696|CH8729499478213548344|8669.93|Payment of invoice(s) CranialTech
X12259K85133|2012-11-30 00:00:00|CH0230382548836512713|CH9158352429367567345|24758.19|Payment of invoice(s) Tarantella Time!
C12727H53415|2013-04-19 00:00:00|CH0237130733821422792|CH6067246472234989020|5541.31|Payment of invoice(s) Nikuda
B16834Z84801|2015-05-08 00:00:00|CH0218229960514553128|CH1006820597721560021|5779.72|Payment of invoice(s) Time  Cupid
Y87114T14742|2015-04-10 00:00:00|CH0228315136202810440|CH3660100928827682021|11911.05|Payment of invoice(s) Semantic Time
C62304L30495|2008-03-28 00:00:00|CH0234515455801405036|CH9449043298339965395|10651.06|Payment of invoice(s) Sigh Co.
G41696E60769|2011-05-20 00:00:00|CH0209336657619956939|CH9387343052322901266|112915.31|Payment of invoice(s) Displaytech
G13715L10961|2011-01-14 00:00:00|CH0227578004931115071|CH5088638921249011890|625.43|Payment of invoice(s) FreeTime
V13543U93186|2012-02-10 00:00:00|CH0225122731249592892|CH2545663419699556099|6672.02|Payment of invoice(s) Nunez, Ivory
H26554X49441|2011-10-14 00:00:00|CH0227578004931115071|CH3565565295426810320|5315.11|Payment of invoice(s) Progressive Time
W69887M53251|2013-06-14 00:00:00|CH0215694012443589673|CH8016460903045779129|11087.28|Payment of invoice(s) WriteTech
F52236Q25428|2011-02-04 00:00:00|CH0219850911967777927|CH9791001388567356681|6084.06|Payment of invoice(s) Saint Time
S63189V59612|2012-04-13 00:00:00|CH0234515455801405036|CH8988352604215975853|34503.95|Payment of invoice(s) Time  Urban
T58505N56488|2011-11-18 00:00:00|CH0214401606376708007|CH4827927844570438723|25254.69|Payment of invoice(s) Ebony Time
C56679E94817|2015-04-24 00:00:00|CH0246225152084380466|CH4702748652329494055|22641.87|Payment of invoice(s) Contreras, Myles
Q27616F41967|2010-12-24 00:00:00|CH0214151982011227631|CH8729499478213548344|11700.00|Payment of invoice(s) CranialTech
V12147Q87719|2010-12-24 00:00:00|CH0240900251892652380|CH3797542252586376553|17031.76|Payment of invoice(s) Mcfadden, Stewart
X72842M95009|2016-11-18 00:00:00|CH0214894598926922337|CH9436656786623704266|23004.84|Payment of invoice(s) Sign of the Times Advertising Agency
T31242R16253|2011-01-28 00:00:00|CH0248281695366099688|CH6040350716936780372|12927.32|Payment of invoice(s) Technoracks
M54977N15628|2010-06-18 00:00:00|CH0215694012443589673|CH2942996515512723075|8886.36|Payment of invoice(s) Wells, Julie
H41946L60221|2009-07-17 00:00:00|CH0209336657619956939|CH2916831165020066166|9125.41|Payment of invoice(s) Kongle
C80976R46905|2013-01-04 00:00:00|CH0204884126669364759|CH3565565295426810320|26022.87|Payment of invoice(s) Progressive Time
S40252S38188|2015-12-04 00:00:00|CH0234515455801405036|CH9053624541702450052|40421.80|Payment of invoice(s) Eleventh Hour Events Planning
W77179E41387|2011-09-02 00:00:00|CH0209049493360060612|CH0747760994091143568|36899.92|Payment of invoice(s) NextTime
D44629I36475|2012-10-19 00:00:00|CH0240900251892652380|CH3565565295426810320|500.00|Payment of invoice(s) Progressive Time
I58170L54826|2012-03-09 00:00:00|CH0228315136202810440|CH7319445800904089133|29982.39|Payment of invoice(s) Vibrant Time
E12348O89112|2015-05-08 00:00:00|CH0234139622897026693|CH3662109453683414593|6255.15|Payment of invoice(s) Prism Time
Y87381J10676|2015-02-06 00:00:00|CH0231003557422817970|CH3662109453683414593|129.62|Payment of invoice(s) Prism Time
C52425B50916|2011-12-09 00:00:00|CH0248281695366099688|CH5306138861270198557|3485.51|Payment of invoice(s) Tucker, Steel
L57123M93115|2015-12-04 00:00:00|CH0234515455801405036|CH7010391221892072726|26008.87|Payment of invoice(s) Time  Avatar
O73318J94953|2012-05-11 00:00:00|CH0228112131218563569|CH4296421323470854890|10074.08|Payment of invoice(s) Time  Hands
P30094V63977|2013-04-26 00:00:00|CH0236918036799637910|CH6067246472234989020|16574.79|Payment of invoice(s) Nikuda
F97518K86031|2011-11-25 00:00:00|CH0218229960514553128|CH9298162976623746233|8808.39|Payment of invoice(s) Midnight Time
K26663Y63212|2005-07-15 00:00:00|CH0250407194135228410|CH3445908152616237234|43828.36|Payment of invoice(s) Time  Surf
Q79217I37242|2013-01-04 00:00:00|CH0234139622897026693|CH8616261051059395320|12157.47|Payment of invoice(s) Prospect Time
C60941Y84843|2016-01-22 00:00:00|CH0214151982011227631|CH9436656786623704266|3799.06|Payment of invoice(s) Sign of the Times Advertising Agency
W75327M79568|2015-04-17 00:00:00|CH0204884126669364759|CH3660100928827682021|25231.17|Payment of invoice(s) Semantic Time
D40496O52113|2014-05-09 00:00:00|CH0227578004931115071|CH3944952886896151839|7019.51|Payment of invoice(s) enCycle
Q36976W98580|2011-11-18 00:00:00|CH0200974687337280877|CH6389002244580245381|10289.32|Payment of invoice(s) Sin Thesis
H76281F97392|2010-10-08 00:00:00|CH0207993305365962502|CH3797542252586376553|29281.70|Payment of invoice(s) Mcfadden, Stewart
F91168U83095|2011-09-30 00:00:00|CH0209049493360060612|CH5331058502318833724|25100.50|Payment of invoice(s) Farrell, Samantha
I33829S10334|2006-03-10 00:00:00|CH0201609149519657198|CH1396683322404415097|47500.09|Payment of invoice(s) Cytrex
W23327J38311|2008-03-28 00:00:00|CH0240522825785605571|CH9449043298339965395|12729.80|Payment of invoice(s) Sigh Co.
R76861O22153|2011-12-09 00:00:00|CH0249176139269086161|CH6156450000385864392|26418.16|Payment of invoice(s) First Class
B14259G37367|2014-05-09 00:00:00|CH0214401606376708007|CH9681610501955543047|120156.80|Payment of invoice(s) Bernard, Willa
C82871H67491|2010-06-18 00:00:00|CH0234139622897026693|CH2942996515512723075|40014.02|Payment of invoice(s) Wells, Julie
O64883L79803|2011-11-25 00:00:00|CH0206550793273688901|CH8155439414540683115|5605.57|Payment of invoice(s) Keystone Time
M47675E54751|2012-06-15 00:00:00|CH0219850911967777927|CH8988352604215975853|41630.04|Payment of invoice(s) Time  Urban
N52788T17750|2015-12-04 00:00:00|CH0236918036799637910|CH7010391221892072726|46033.65|Payment of invoice(s) Time  Avatar
Q85936E33500|2011-07-15 00:00:00|CH0240900251892652380|CH8899736044866815340|14819.85|Payment of invoice(s) Spare Time
K61015F97348|2014-09-26 00:00:00|CH0209336657619956939|CH9681610501955543047|18702.77|Payment of invoice(s) Bernard, Willa
K66139E82977|2013-03-08 00:00:00|CH0228112131218563569|CH0619016605702832070|21318.69|Payment of invoice(s) Pattern Time
O10929A66154|2011-09-30 00:00:00|CH0200974687337280877|CH5331058502318833724|14125.99|Payment of invoice(s) Farrell, Samantha
Y68919I93023|2011-03-25 00:00:00|CH0201609149519657198|CH3514647971914614633|12538.41|Payment of invoice(s) Design of the Times
B39204P90146|2011-09-02 00:00:00|CH0234139622897026693|CH0747760994091143568|51774.66|Payment of invoice(s) NextTime
K20047M54958|2014-10-03 00:00:00|CH0206003498982695304|CH9657399602049395479|5631.06|Payment of invoice(s) Candid Time
W37555D43820|2014-05-23 00:00:00|CH0231003557422817970|CH7794913888074892430|40605.00|Payment of invoice(s) Time  Utopia
B41592N50063|2015-12-04 00:00:00|CH0209336657619956939|CH7010391221892072726|24197.75|Payment of invoice(s) Time  Avatar
H32306M28961|2012-01-27 00:00:00|CH0228112131218563569|CH4296421323470854890|16947.41|Payment of invoice(s) Time  Hands
F60772J45960|2008-08-22 00:00:00|CH0219850911967777927|CH9791001388567356681|2241.08|Payment of invoice(s) Saint Time
C32014I88487|2012-11-09 00:00:00|CH0248281695366099688|CH1813436760999770384|5622.67|Payment of invoice(s) Technology Wizard
G69333C31764|2011-12-16 00:00:00|CH0218229960514553128|CH7662760544240052921|6645.62|Payment of invoice(s) Zytrex
V87086E90025|2013-03-08 00:00:00|CH0237130733821422792|CH0619016605702832070|19851.08|Payment of invoice(s) Pattern Time
J39148E74053|2011-04-15 00:00:00|CH0246225152084380466|CH8619980845374894676|4792.24|Payment of invoice(s) Tucker, Amos
O70103X20596|2016-06-24 00:00:00|CH0209049493360060612|CH9797517066913638834|5075.51|Payment of invoice(s) OpenSource Time
V41935H76678|2011-09-30 00:00:00|CH0210540037202341452|CH5331058502318833724|56266.59|Payment of invoice(s) Farrell, Samantha
R68790D68285|2013-03-01 00:00:00|CH0237130733821422792|CH0619016605702832070|3331.92|Payment of invoice(s) Pattern Time
N21076K87022|2012-12-07 00:00:00|CH0214894598926922337|CH3146115032200851604|6656.74|Payment of invoice(s) Impulse Time
I88624Y61951|2012-02-24 00:00:00|CH0240900251892652380|CH2284113576710807414|43003.52|Payment of invoice(s) NorthStar Time
F91754X75492|2015-04-10 00:00:00|CH0240900251892652380|CH9053624541702450052|1571.00|Payment of invoice(s) Eleventh Hour Events Planning
E51462H88511|2011-11-25 00:00:00|CH0250222882407221959|CH8155439414540683115|6716.94|Payment of invoice(s) Keystone Time
L20023T28040|2013-05-24 00:00:00|CH0250407194135228410|CH5088079216680893260|9930.20|Payment of invoice(s) Sapphire Time
L93412S14394|2013-02-01 00:00:00|CH0231003557422817970|CH5016167931570684520|26352.91|Payment of invoice(s) Lighthouse Time
K10164U37603|2013-05-17 00:00:00|CH0240522825785605571|CH5088079216680893260|14065.05|Payment of invoice(s) Sapphire Time
M51895Q47640|2012-08-03 00:00:00|CH0223943235385824696|CH4827927844570438723|4322.41|Payment of invoice(s) Ebony Time
V68129D41153|2011-09-30 00:00:00|CH0214151982011227631|CH5331058502318833724|14579.97|Payment of invoice(s) Farrell, Samantha
I18925E67136|2016-03-18 00:00:00|CH0219850911967777927|CH9460991585208143427|4260.27|Payment of invoice(s) Zentime
J45850M98038|2011-04-15 00:00:00|CH0234515455801405036|CH8619980845374894676|13166.76|Payment of invoice(s) Tucker, Amos
B88388H53921|2014-09-26 00:00:00|CH0251073611707606644|CH9053624541702450052|36599.19|Payment of invoice(s) Eleventh Hour Events Planning
C41347A94652|2006-03-31 00:00:00|CH0207993305365962502|CH0972869735311306178|14374.09|Payment of invoice(s) Method Time
R66165N81252|2012-05-04 00:00:00|CH0207993305365962502|CH3061963907498411463|58331.71|Payment of invoice(s) Moving with the Times
B17987V16814|2012-12-14 00:00:00|CH0218229960514553128|CH3146115032200851604|28679.20|Payment of invoice(s) Impulse Time
D71534V89307|2006-12-15 00:00:00|CH0201609149519657198|CH7283917062688226097|551.85|Payment of invoice(s) Finley, Vernon
H68032Q11129|2015-04-10 00:00:00|CH0206003498982695304|CH3660100928827682021|1634.61|Payment of invoice(s) Semantic Time
K13362A33713|2009-11-20 00:00:00|CH0219850911967777927|CH2916831165020066166|36535.50|Payment of invoice(s) Kongle
W77782T10988|2012-09-14 00:00:00|CH0209336657619956939|CH5113429654953071542|19722.96|Payment of invoice(s) Technohabitat
A86436P91200|2014-05-23 00:00:00|CH0246225152084380466|CH7794913888074892430|24158.61|Payment of invoice(s) Time  Utopia
A95387V78787|2012-05-25 00:00:00|CH0200974687337280877|CH7455625517759336763|15972.22|Payment of invoice(s) Holland, Ray
B69716S55729|2011-04-15 00:00:00|CH0200974687337280877|CH8619980845374894676|5740.67|Payment of invoice(s) Tucker, Amos
Q41313K80522|2015-04-17 00:00:00|CH0210540037202341452|CH3660100928827682021|8598.80|Payment of invoice(s) Semantic Time
P45985C35281|2013-12-20 00:00:00|CH0249176139269086161|CH8016460903045779129|29019.00|Payment of invoice(s) WriteTech
U27176H61923|2016-02-12 00:00:00|CH0225122731249592892|CH5039837041721813617|15386.43|Payment of invoice(s) Valent Technologies
N80030D30962|2014-04-11 00:00:00|CH0218229960514553128|CH3662109453683414593|142.39|Payment of invoice(s) Prism Time
Y49177N14114|2008-08-08 00:00:00|CH0207993305365962502|CH7620394968875518984|45648.46|Payment of invoice(s) Furnitech
X93967Q78569|2013-05-31 00:00:00|CH0228315136202810440|CH8988352604215975853|17489.40|Payment of invoice(s) Time  Urban
F94816T54844|2012-05-04 00:00:00|CH0214401606376708007|CH3061963907498411463|26825.33|Payment of invoice(s) Moving with the Times
S74365W77541|2016-01-08 00:00:00|CH0237130733821422792|CH5039837041721813617|18241.21|Payment of invoice(s) Valent Technologies
Q90109Q82055|2011-11-18 00:00:00|CH0206550793273688901|CH1212759137980150044|721.30|Payment of invoice(s) Plasma Time
H10787V42424|2016-01-08 00:00:00|CH0210540037202341452|CH5039837041721813617|15204.86|Payment of invoice(s) Valent Technologies
J25862X90473|2008-02-15 00:00:00|CH0204884126669364759|CH4297398669858140496|45233.25|Payment of invoice(s) Antechnology
K63397Y27786|2011-04-29 00:00:00|CH0210540037202341452|CH9467652252739966512|16331.49|Payment of invoice(s) Americas Time
I34330I57556|2015-12-18 00:00:00|CH0218229960514553128|CH2825850289822331123|21372.88|Payment of invoice(s) Strickland, Leroy
N12098K43107|2015-12-04 00:00:00|CH0234515455801405036|CH7010391221892072726|2846.66|Payment of invoice(s) Time  Avatar
R11860I23033|2014-05-23 00:00:00|CH0250222882407221959|CH7794913888074892430|16024.60|Payment of invoice(s) Time  Utopia
W14829Y16065|2010-12-17 00:00:00|CH0234515455801405036|CH8729499478213548344|275.14|Payment of invoice(s) CranialTech
Q45480E71490|2005-12-30 00:00:00|CH0234139622897026693|CH4154911007648432776|12487.10|Payment of invoice(s) Tuliptime Tunefest
R78934C13676|2012-08-17 00:00:00|CH0206003498982695304|CH8988352604215975853|1916.65|Payment of invoice(s) Time  Urban
K87901V38333|2012-06-22 00:00:00|CH0236918036799637910|CH5966588287840537342|6766.19|Payment of invoice(s) Ultrimax
F31847R22628|2013-05-17 00:00:00|CH0251073611707606644|CH5088079216680893260|8257.72|Payment of invoice(s) Sapphire Time
H61474T18015|2015-04-10 00:00:00|CH0234515455801405036|CH3660100928827682021|8614.72|Payment of invoice(s) Semantic Time
N65411S13036|2015-05-22 00:00:00|CH0207993305365962502|CH1006820597721560021|26124.48|Payment of invoice(s) Time  Cupid
G66274O15818|2013-03-22 00:00:00|CH0218229960514553128|CH2776009455955283091|8773.06|Payment of invoice(s) Aeora
A70935U44805|2012-05-25 00:00:00|CH0223943235385824696|CH9298162976623746233|12633.71|Payment of invoice(s) Midnight Time
J80481F41769|2011-09-30 00:00:00|CH0214894598926922337|CH5331058502318833724|7561.18|Payment of invoice(s) Farrell, Samantha
H91340Q99819|2014-01-24 00:00:00|CH0209049493360060612|CH8515468004216856140|1305.57|Payment of invoice(s) SecondTime
K82863F60749|2010-12-10 00:00:00|CH0214401606376708007|CH1843640612996083104|1149.59|Payment of invoice(s) Time  Custom
X61889M12341|2011-02-18 00:00:00|CH0207993305365962502|CH2527167101216711292|19959.96|Payment of invoice(s) Exotechno
C92184J26753|2014-01-31 00:00:00|CH0223943235385824696|CH8515468004216856140|1800.66|Payment of invoice(s) SecondTime
T67101X44846|2016-07-29 00:00:00|CH0223943235385824696|CH9436656786623704266|6164.70|Payment of invoice(s) Sign of the Times Advertising Agency
P20261X25118|2012-12-28 00:00:00|CH0224806721788063113|CH8616261051059395320|328.48|Payment of invoice(s) Prospect Time
U54610H84322|2013-04-26 00:00:00|CH0210540037202341452|CH6067246472234989020|35434.63|Payment of invoice(s) Nikuda
Q57663Y42767|2013-01-18 00:00:00|CH0214894598926922337|CH9027477895350295117|9432.21|Payment of invoice(s) Cornerstone Time
M46404F25226|2016-01-08 00:00:00|CH0225122731249592892|CH9436656786623704266|186.35|Payment of invoice(s) Sign of the Times Advertising Agency
R93636T42561|2009-01-30 00:00:00|CH0234139622897026693|CH9791001388567356681|8247.06|Payment of invoice(s) Saint Time
Q95415I85963|2011-12-02 00:00:00|CH0214894598926922337|CH5306138861270198557|12618.47|Payment of invoice(s) Tucker, Steel
J34243U18184|2012-11-16 00:00:00|CH0231003557422817970|CH1813436760999770384|8915.23|Payment of invoice(s) Technology Wizard
T45469K20827|2013-11-15 00:00:00|CH0237130733821422792|CH9550700497041359716|24365.17|Payment of invoice(s) Lifetime Time
D21891V20105|2015-01-30 00:00:00|CH0214151982011227631|CH1006820597721560021|38051.31|Payment of invoice(s) Time  Cupid
I27111E46101|2013-08-23 00:00:00|CH0234139622897026693|CH1443469204088447401|9958.23|Payment of invoice(s) Neighborhood Time
A86947E37257|2010-07-30 00:00:00|CH0200974687337280877|CH5088638921249011890|38880.58|Payment of invoice(s) FreeTime
Y56649C86866|2005-12-30 00:00:00|CH0201609149519657198|CH4154911007648432776|1717.86|Payment of invoice(s) Tuliptime Tunefest
S96615E16311|2010-01-08 00:00:00|CH0249176139269086161|CH3296083466398193738|32392.47|Payment of invoice(s) Specialty Time
M70393C92259|2015-07-31 00:00:00|CH0228315136202810440|CH2877506220346092976|23871.27|Payment of invoice(s) Popcorn Born
S12660F16083|2015-11-20 00:00:00|CH0231003557422817970|CH9204116784019962130|9488.73|Payment of invoice(s) OneStop Time
T51446Q83437|2012-05-04 00:00:00|CH0210540037202341452|CH3061963907498411463|44214.27|Payment of invoice(s) Moving with the Times
N80549P67997|2012-07-27 00:00:00|CH0211681954985788087|CH4827927844570438723|888.74|Payment of invoice(s) Ebony Time
S60112Q61575|2013-04-05 00:00:00|CH0236918036799637910|CH2776009455955283091|2201.45|Payment of invoice(s) Aeora
I81169C49336|2009-04-24 00:00:00|CH0214151982011227631|CH3068272525733417130|17722.39|Payment of invoice(s) Realtime Time
Y32729K38711|2010-03-05 00:00:00|CH0219850911967777927|CH3296083466398193738|28514.09|Payment of invoice(s) Specialty Time
N50140A71226|2014-09-26 00:00:00|CH0214894598926922337|CH9657399602049395479|758.33|Payment of invoice(s) Candid Time
N65526B61750|2011-05-27 00:00:00|CH0201609149519657198|CH5088638921249011890|3654.71|Payment of invoice(s) FreeTime
U19023H28589|2015-04-17 00:00:00|CH0211681954985788087|CH3660100928827682021|35423.38|Payment of invoice(s) Semantic Time
F65783B99527|2011-06-10 00:00:00|CH0214151982011227631|CH0309890016342600758|7731.34|Payment of invoice(s) Time  Nano
G84114V20792|2013-01-18 00:00:00|CH0209336657619956939|CH9027477895350295117|29227.27|Payment of invoice(s) Cornerstone Time
